class,average_loudness,spectral_spread_var,ZCR_mean,Dissonance_mean,spectral_flux_mean,spectral_centroid_mean,energyband_middle_high_mean,energyband_middle_low_mean
hiphop,0.88278263810000002,5891122266110.0,0.078140564300000007,0.45870658759999999,0.083388484999999998,1652.3856201200001,0.0036980072000000002,0.0072124796000000001
rnb,0.91182732580000003,1668634247170.0,0.046851191700000003,0.46967008710000002,0.090323738799999997,1145.0056152300001,0.0078149689000000001,0.0129449591
jazz,0.62794727090000002,5424219160580.0,0.037790644900000003,0.40390363340000002,0.043748777400000001,595.98303222699997,0.0032828965000000002,0.010854061700000001
folk,0.36547032000000002,11440120397800.0,0.2783898413,0.42056459190000001,0.065729379700000007,528.70611572300004,0.0012120812999999999,0.0173998494
classical,0.84655708070000002,71827044958200.0,0.1035800949,0.43936619160000001,0.052519045799999997,2132.5336914099998,0.0059043834999999998,0.0103585161
electronic,0.58463186030000003,29198443872300.0,0.0423234366,0.4513483942,0.077519200699999999,945.64215087900004,0.0019814931,0.016342377299999999
hiphop,0.84978169199999998,2952294825980.0,0.0604539849,0.4593398273,0.093521118200000003,1410.2285156299999,0.0031364383000000002,0.0048500975
rnb,0.87506109480000005,823492542464.0,0.0847858638,0.4868397713,0.0653174371,2345.8935546900002,0.0063227196000000003,0.0051925419999999996
jazz,0.70457494259999998,31810283110400.0,0.101151742,0.46879649159999998,0.060868706600000003,2365.1481933599998,0.0046346857999999998,0.0048734787999999999
folk,0.7909550071,2471741620220.0,0.022179223599999999,0.41010174160000001,0.051165383299999999,481.96136474600002,0.0012244239,0.018130941300000002
classical,0.3491826355,3802154663940.0,0.031776335099999997,0.37495484950000002,0.0457152948,464.22848510699998,0.0014282019999999999,0.0128133139
electronic,0.83729213479999998,14242014036000.0,0.036907143900000002,0.40590661760000002,0.058702420399999997,764.15765380899995,0.0026607308999999999,0.014234183399999999
hiphop,0.66129887099999995,7583192055810.0,0.072111755599999994,0.46253260969999999,0.095554113400000001,1553.08532715,0.0080099375999999993,0.010078722599999999
rnb,0.88246524329999998,2005845147650.0,0.064976878500000002,0.47086849809999998,0.087657399499999997,1670.1274414100001,0.0086059160999999995,0.0077095716000000003
jazz,0.34973433609999999,4891653701630.0,0.026193020899999999,0.37456136940000001,0.035341396900000002,516.66320800799997,0.0027320462000000002,0.0086710937000000002
folk,0.96707129479999998,2409564733440.0,0.057738255699999998,0.45464551450000001,0.1022881866,1162.0061035199999,0.0030749324,0.017214408099999998
classical,0.16027741130000001,21507310878700.0,0.0436774194,0.43297836179999999,0.047074668100000001,1004.49420166,0.0024336575999999999,0.013784356399999999
electronic,0.96272456650000005,2681442140160.0,0.1093638688,0.48167565470000001,0.1236935183,2253.11450195,0.0047488966999999997,0.0086873677000000003
hiphop,0.82334852219999999,1360097312770.0,0.10267626489999999,0.456359446,0.1018942669,1178.8015136700001,0.0031023687000000001,0.0086076558000000008
rnb,0.9292448163,2571378884610.0,0.1429224908,0.45102646950000003,0.1083624139,782.18890380899995,0.0044203139999999998,0.0111131184
jazz,0.60122567419999995,27521651310600.0,0.073320113100000001,0.4617322385,0.077946864099999999,1634.31286621,0.0040568117999999998,0.010427134100000001
folk,0.4378995597,3401033973760.0,0.0276703443,0.43161493540000001,0.0534859933,687.39923095699999,0.0040745152999999996,0.0098600639000000004
classical,0.66450047489999997,12957583933400.0,0.037678714799999999,0.40470305090000003,0.049723759300000003,896.76635742200006,0.0059832111,0.012859405000000001
electronic,0.75210344790000005,11526477971500.0,0.1077967435,0.47386473420000003,0.076535895500000006,1946.16674805,0.0044694556999999996,0.0093446998
hiphop,0.84133136269999997,1840753147900.0,0.060539517600000002,0.48139506580000002,0.080771766600000003,1555.4514160199999,0.0065669882999999998,0.0091993613000000002
rnb,0.90372163059999999,21809747460100.0,0.19904193279999999,0.46006956700000001,0.1364920288,1046.22717285,0.0033924005,0.011913444800000001
jazz,0.93102413419999996,5297012211710.0,0.068516500300000005,0.46996048089999998,0.086369872099999995,1626.9205322299999,0.0083618127000000004,0.0086380532000000006
folk,0.8946996331,19713610481700.0,0.067404709800000004,0.41964808110000001,0.063936516600000007,1290.9555664100001,0.0045728436999999999,0.0142230624
classical,0.0647719353,1387446534140.0,0.2697303593,0.42257386450000001,0.073558188999999996,295.146484375,0.00041951979999999998,0.0193533096
electronic,0.97975599769999999,9074669256700.0,0.042619727599999997,0.48491802810000001,0.13261942569999999,1822.15527344,0.0046951830999999999,0.0051069940000000001
hiphop,0.95878678559999997,12845414613000.0,0.0621017367,0.43028497700000001,0.1090742499,1202.0089111299999,0.0047251079,0.0099892708999999996
